,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 2], [2, 0], [2, 2, 2], [3, 2], [0, 1, 0], [1, 0]]",1.5785404190820103,"[1, 1, 2, 2, 3, 2, 3, 2]",7,((x[1]**Constant)**Constant)/(Constant*x[0]**Constant),((x[1]**0.060604555253973236)**0.03224256886000132)/(0.24800435865653825*x[0]**0.6320786131124309),[0.06060456 0.03224257 0.24800436 0.63207861],1.429088479221246,"{'fitness 25': 1.1382451915076786, 'fitness 53': 1.5785404190820103, 'fitness 74': 1.4900432515355373, 'fitness 102': 1.6589769946205222}",False
1,"[[0], [0], [2, 2], [2, 2], [2, 2], [3, 0, 2, 0, 2], [0, 0], [1, 0]]",1.7546035269369082,"[1, 1, 2, 2, 2, 1, 2, 2]",7,((x[1]**Constant)**Constant)/((x[0]**Constant)**Constant),((x[1]**0.1788479039005978)**0.8609566625423549)/((x[0]**0.8050319783572867)**0.9488367342073456),[0.1788479  0.86095666 0.80503198 0.94883673],1.6041478081115563,"{'fitness 25': 1.0487988992575563, 'fitness 53': 1.7546035269369082, 'fitness 74': 1.767338762908074, 'fitness 102': 1.9963057621690383}",False
2,"[[0], [1], [0, 3], [2, 0], [2, 2, 2, 0], [3, 2, 3, 2, 2, 3, 1, 2, 1], [1, 1, 0, 0, 1, 1], [0, 0]]",2.501507208623937,"[1, 1, 2, 2, 3, 3, 4, 2]",7,((Constant**Constant)/Constant*x[0]/x[0]),((0.7931628531294367**0.6058643731047096)/0.20257304593625858*x[0]/x[0]),[0.79316285 0.60586437 0.20257305],2.3194401534368607,"{'fitness 25': 1.8916134722077278, 'fitness 53': 2.501507208623937, 'fitness 74': 2.4293223095752836, 'fitness 102': 2.637384678527571}",False
3,"[[0], [0], [2, 2], [2, 0], [2, 2, 2], [3, 2], [0, 1, 0], [1, 0]]",2.515373953622499,"[1, 1, 2, 2, 3, 2, 3, 2]",7,((x[1]**Constant)**Constant)/(Constant*x[0]**Constant),((x[1]**0.6189794330395787)**0.1404319494120423)/(0.9654945222612281*x[0]**0.9637941967116985),[0.61897943 0.14043195 0.96549452 0.9637942 ],2.378188957329057,"{'fitness 25': 1.7463081156272526, 'fitness 53': 2.515373953622499, 'fitness 74': 2.5849076014004164, 'fitness 102': 2.803351154959502}",False
4,"[[0], [1], [2, 3], [3, 1, 3, 2], [0, 2], [3, 0, 3, 2, 2, 3, 1, 2, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0]]",2.5156135731059948,"[1, 1, 2, 1, 0, 1, 2, 0]",5,((Constant**Constant)/Constant),((0.35636037434841705**0.5493323870737753)/0.14244501098135798),[0.35636037 0.54933239 0.14244501],2.3241421937089553,"{'fitness 25': 1.8397846051116744, 'fitness 53': 2.5156135731059948, 'fitness 74': 2.4530236221014707, 'fitness 102': 2.67961835391372}",False
5,"[[0], [2], [0, 2], [2, 0, 3], [2, 0, 1, 1, 0, 2], [3, 0, 2, 0, 2], [0, 0, 1, 1, 0, 0, 0, 1, 0], [0, 0, 1, 1, 0]]",2.521435360797038,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((x[0]**Constant)/x[0]+Constant*(Constant+x[1])**Constant),((x[0]**0.691783985043116)/x[0]+0.7811217019236072*(0.89080255780671+x[1])**0.17942109190201294),[0.69178399 0.7811217  0.89080256 0.17942109],2.353240456373445,"{'fitness 25': 1.8874052362253735, 'fitness 53': 2.521435360797038, 'fitness 74': 2.4806363713369146, 'fitness 102': 2.6916797615580466}",False
6,"[[0], [0], [2, 2], [2, 2], [2, 2], [3], [0, 1], [1, 0]]",2.6432503892572954,"[1, 1, 2, 2, 2, 1, 2, 1]",7,((x[1]**Constant)**Constant)/((Constant**Constant)**Constant),((x[1]**0.17495306494902252)**0.8649120985098642)/((0.639316436385754**0.40541053656807435)**0.975446671492252),[0.17495306 0.8649121  0.63931644 0.40541054 0.97544667],2.464358325826329,"{'fitness 25': 1.9267739856556036, 'fitness 53': 2.6432503892572954, 'fitness 74': 2.61556921021472, 'fitness 102': 2.8507317816086637}",False
7,"[[0], [0], [2, 2], [2, 2], [2, 2], [3, 2, 3, 0], [0, 1], [1]]",2.6533547073394694,"[1, 1, 2, 2, 2, 1, 2, 1]",7,((x[1]**Constant)**Constant)/((Constant**Constant)**Constant),((x[1]**0.18011051590608484)**0.9022496653827323)/((0.22268253727112353**0.0825488290821299)**0.7435739707286085),[0.18011052 0.90224967 0.22268254 0.08254883 0.74357397],2.4760285489363514,"{'fitness 25': 1.9387081013042406, 'fitness 53': 2.6533547073394694, 'fitness 74': 2.6274943030799895, 'fitness 102': 2.861883242424825}",False
8,"[[0], [2], [1], [2, 0], [2, 0, 0], [2, 0, 3, 3, 0], [0, 1, 1, 1, 0], [1, 0]]",2.653640402624371,"[1, 1, 1, 2, 3, 4, 5, 2]",7,(((x[1]**Constant)*Constant+Constant/Constant/x[0])**Constant),(((x[1]**0.377410228459206)*0.19102960651057488+0.6078522633852378/0.8563377534907591/x[0])**0.7852455434087233),[0.37741023 0.19102961 0.60785226 0.85633775 0.78524554],2.4759060096074013,"{'fitness 25': 1.831788279352062, 'fitness 53': 2.653640402624371, 'fitness 74': 2.670633812145978, 'fitness 102': 2.925295937324163}",False
9,"[[0], [2], [2, 3], [0, 0], [0, 2], [3, 2, 0, 0, 3, 2], [1, 1, 1, 1, 0, 0, 1, 0, 1, 1], [0]]",2.6857370053502807,"[1, 1, 1, 1, 2, 2, 3, 0]",6,((Constant/Constant*Constant**Constant)**Constant),((0.7387576636703607/0.09592650014820925*0.8649591355979429**0.7939292876358108)**0.6156087029356214),[0.73875766 0.0959265  0.86495914 0.79392929 0.6156087 ],2.4872118293819643,"{'fitness 25': 1.9129161658695673, 'fitness 53': 2.6857370053502807, 'fitness 74': 2.646895046356317, 'fitness 102': 2.9018242759200086}",False
