,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [], [], [], [1], []]",5.835071605574944,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.41129347182303555 * (x[1]**0.6528263145185083) * (x[2]),[0.41129347 0.65282631],5.268924249250553,"{'fitness 25': 5.192269636103521, 'fitness 53': 5.648301933904928, 'fitness 74': 4.9662011777432085, 'fitness 102': 5.835071605574944}",False
1,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [1, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0]]",8.244456489759084,6,((Constant/(x[0]+x[0]))+(Constant/Constant)+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",((0.5386770819951443/(x[0]+x[0]))+(0.15157528083098126/0.7859874327897174)+x[0]/x[0]) * (x[1]**0.4896862820250757) * (x[2]),[0.53867708 0.15157528 0.78598743 0.48968628],8.10226062359748,"{'fitness 25': 8.198803704021772, 'fitness 53': 8.268534188477103, 'fitness 74': 7.83944397829357, 'fitness 102': 8.244456489759084}",False
2,"[[0], [1], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",9.523394310736752,6,((x[0]/(Constant+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 6]",((x[0]/(0.2525852960658108+x[0]))+(x[0]/x[0])+x[0]/x[0]) * (x[1]**0.41804137310894873) * (x[2]),[0.2525853  0.41804137],9.954682230230405,"{'fitness 25': 10.791687701405683, 'fitness 53': 10.15337278376685, 'fitness 74': 8.918986205518687, 'fitness 102': 9.523394310736752}",False
3,"[[0], [3], [], [], [], [1], []]",9.558254914520049,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.47004697758262715 * (x[1]**0.6245644792534636) * (x[2]),[0.47004698 0.62456448],9.086024859659279,"{'fitness 25': 9.251387594177988, 'fitness 53': 9.456327689883375, 'fitness 74': 8.550359294916476, 'fitness 102': 9.558254914520049}",False
4,"[[0], [3], [], [], [], [1], []]",12.99589684880014,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5001405543802104 * (x[1]**0.6560948329632221) * (x[2]),[0.50014055 0.65609483],14.610251366699336,"{'fitness 25': 15.362958462345755, 'fitness 53': 14.285202987555216, 'fitness 74': 14.182592650197028, 'fitness 102': 12.99589684880014}",False
5,"[[0], [1], [3, 2], [2], [0], [0, 0], [0, 0]]",13.438069187754515,6,(x[0]+(x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 2]",(x[0]+(x[0]**0.0019402610385275132)) * (x[1]**0.4686789204569798) * (x[2]),[0.00194026 0.46867892],14.189426898524081,"{'fitness 25': 15.199127189621633, 'fitness 53': 14.37970606893774, 'fitness 74': 12.989447437012865, 'fitness 102': 13.438069187754515}",False
6,"[[0], [2], [2], [2], [], [0], [0]]",13.693872352631255,6,((x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 1]",((x[0]**0.3860136391757546)**0.18954487851019708) * (x[1]**0.5730154884747974) * (x[2]),[0.38601364 0.18954488 0.57301549],14.795364356885791,"{'fitness 25': 15.234626766605215, 'fitness 53': 14.58018968549237, 'fitness 74': 14.571276618559791, 'fitness 102': 13.693872352631255}",False
7,"[[0], [1], [2, 0], [0, 2, 1], [3, 0, 1, 2, 2], [0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0]]",14.042830922554623,6,((x[0]/x[0]**Constant)+Constant-(x[0]*Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 4, 5, 3]",((x[0]/x[0]**0.1878171620142518)+0.8762562531206983-(x[0]*0.012437719269440484)) * (x[1]**0.4858956539888991) * (x[2]),[0.18781716 0.87625625 0.01243772 0.48589565],14.743737215704869,"{'fitness 25': 15.39021317522446, 'fitness 53': 14.829715982394289, 'fitness 74': 14.011282489495855, 'fitness 102': 14.042830922554623}",False
8,"[[0], [2], [1], [2, 2], [2], [1, 1], []]",14.113599486040897,5,((Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 2, 1, 2, 0]",((0.23449030144848126*0.11695186162952409)**0.3366198374184305) * (x[1]**0.6672805850833161) * (x[2]),[0.2344903  0.11695186 0.33661984 0.66728059],13.75781077906939,"{'fitness 25': 13.98555170092154, 'fitness 53': 14.084463881891505, 'fitness 74': 13.203416754395125, 'fitness 102': 14.113599486040897}",False
9,"[[0], [2], [2, 1], [1], [3, 2, 2, 3, 1], [1, 0], [0, 0]]",15.239467868722139,6,(((Constant/x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 1]",(((0.9017030809911062/x[0])**0.6409456401761258)**0.6913621483919045) * (x[1]**0.5210230274226871) * (x[2]),[0.90170308 0.64094564 0.69136215 0.52102303],15.28266850617077,"{'fitness 25': 15.346553577484611, 'fitness 53': 15.352883709066885, 'fitness 74': 15.148568231960814, 'fitness 102': 15.239467868722139}",False
10,"[[0], [1], [1, 0], [0, 2, 2, 2], [3, 1, 0, 1], [0, 0, 1, 1, 1], [0, 0, 0]]",16.389336895171088,6,((x[0]/x[0]-Constant)+Constant-Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 2]",((x[0]/x[0]-0.30755581838494483)+0.197684378904178-0.2815793173200414) * (x[1]**0.5747705778582454) * (x[2]),[0.30755582 0.19768438 0.28157932 0.57477058],16.568700510154862,"{'fitness 25': 17.198021080690808, 'fitness 53': 16.80390599061671, 'fitness 74': 15.70417445915707, 'fitness 102': 16.389336895171088}",False
11,"[[0], [3], [], [], [], [1], []]",17.175728761500373,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.6071331123448234 * (x[1]**0.5728002045091473) * (x[2]),[0.60713311 0.5728002 ],17.41128617855256,"{'fitness 25': 18.077715583665498, 'fitness 53': 17.63571809466357, 'fitness 74': 16.520424857328624, 'fitness 102': 17.175728761500373}",False
12,"[[0], [1], [2, 0], [0, 1, 1], [3, 0, 2, 3, 0, 3], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0]]",18.2606751336243,6,((x[0]/x[0]**Constant)+(x[0]*Constant)/(x[0]+x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 5, 6, 5]",((x[0]/x[0]**0.07348260886822389)+(x[0]*0.6611809202162698)/(x[0]+x[0])) * (x[1]**0.4887974372377438) * (x[2]),[0.07348261 0.66118092 0.48879744],19.399135841480938,"{'fitness 25': 21.27933025974455, 'fitness 53': 19.68695922364501, 'fitness 74': 17.23111804105325, 'fitness 102': 18.2606751336243}",False
