,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 1], [2, 0, 1], [1, 1, 0, 0, 1], [3, 3, 0, 2, 3, 2, 2, 0, 2], [0, 0, 0, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0]]",1.42679090702795,"[1, 1, 2, 3, 5, 9, 10, 5]",7,(((x[0]/x[0])**Constant)**Constant)/((x[0]+Constant)*Constant/Constant*(x[0]*Constant+(x[0]*Constant))),(((x[0]/x[0])**0.3063508911686653)**0.3253439946662131)/((x[0]+0.6421781577349387)*0.38536267251884804/0.8457716230190917*(x[0]*0.2971953710263818+(x[0]*0.07339323749913085))),"[0.30635089 0.32534399 0.64217816 0.38536267 0.84577162 0.29719537
 0.07339324]",1.6539911490825798,"{'fitness 25': 2.0397060458650813, 'fitness 53': 1.6952483386182913, 'fitness 74': 1.2270190627643673, 'fitness 102': 1.42679090702795}",False
1,"[[0], [1], [2, 3], [3, 1, 2], [0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [0, 0, 0, 0]]",2.6296402469081923,"[1, 1, 2, 1, 0, 1, 2, 0]",5,((Constant**Constant)/Constant),((0.7950727079717219**0.9955086262067465)/0.17937014458313627),[0.79507271 0.99550863 0.17937014],2.291036871071294,"{'fitness 25': 1.9333541329145452, 'fitness 53': 2.5080872735439, 'fitness 74': 2.431669206755436, 'fitness 102': 2.6296402469081923}",False
2,"[[0], [1], [2, 3], [0, 3, 3, 1], [0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [0, 0, 0, 0]]",2.764548926164158,"[1, 1, 2, 1, 2, 3, 4, 2]",7,((Constant/Constant/x[0]**Constant)+x[0]),((0.9703954057254486/0.2914005353236695/x[0]**0.12017036320663022)+x[0]),[0.97039541 0.29140054 0.12017036],2.4081639544508406,"{'fitness 25': 2.0341358789414206, 'fitness 53': 2.6292272122397864, 'fitness 74': 2.5611287721713154, 'fitness 102': 2.764548926164158}",False
3,"[[0], [2], [2], [0], [0, 1, 0, 0], [0, 2, 3], [1, 1, 0, 0], [1, 0]]",2.8290084756167424,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((Constant+Constant*(x[1]/x[0])**Constant)**Constant),((0.07645362467513916+0.8170569815324102*(x[1]/x[0])**0.2560249437977299)**0.6585763492736472),[0.07645362 0.81705698 0.25602494 0.65857635],2.2955740190766365,"{'fitness 25': 1.7477173479501917, 'fitness 53': 2.5691895981534474, 'fitness 74': 2.56981511112627, 'fitness 102': 2.8290084756167424}",False
4,"[[0], [0], [2, 1], [0, 0, 1], [2, 2, 1, 0, 1, 2], [1, 3, 2, 0, 3, 3, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0]]",2.854872456430006,"[1, 1, 2, 3, 6, 8, 9, 5]",7,(x[1]-x[0]**Constant)/((Constant*x[1])+x[0]/Constant/((x[0]-Constant)+Constant)),(x[1]-x[0]**0.4924929792623165)/((0.2943888755418518*x[1])+x[0]/0.6499045231112243/((x[0]-0.4544265637041228)+0.8831988869346514)),[0.49249298 0.29438888 0.64990452 0.45442656 0.88319889],2.376862348140699,"{'fitness 25': 1.8820767347674079, 'fitness 53': 2.6453775346661796, 'fitness 74': 2.6031327749885085, 'fitness 102': 2.854872456430006}",False
5,"[[0], [1], [2, 1], [2, 1, 3], [2, 1, 1], [0, 3, 0, 2, 3], [0, 1, 1, 1, 1, 1], [0]]",2.8564864644965366,"[1, 1, 2, 3, 3, 5, 6, 1]",7,(((x[0]**Constant)**Constant)+(((Constant/Constant)+(Constant*Constant))/Constant)),(((x[0]**0.4956557392274886)**0.9896707452252437)+(((0.26040823084331555/0.10422609820478812)+(0.45471517167086506*0.24540676589757326))/0.6192291627475642)),"[0.49565574 0.98967075 0.26040823 0.1042261  0.45471517 0.24540677
 0.61922916]",2.6402403499177356,"{'fitness 25': 2.4029496217953246, 'fitness 53': 2.8034358887091537, 'fitness 74': 2.7143355392487285, 'fitness 102': 2.8564864644965366}",False
6,"[[0], [0], [2, 1], [0, 0, 1], [2, 2, 1, 0, 1, 2], [1, 3, 2, 2, 3, 3, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0]]",2.8710136905505346,"[1, 1, 2, 3, 6, 8, 9, 4]",7,(x[1]-Constant**Constant)/((Constant*x[0])*x[1]/Constant/((x[0]+Constant)+Constant)),(x[1]-0.40048716413222785**0.714848178465101)/((0.6803266720788544*x[0])*x[1]/0.8916568234811325/((x[0]+0.7042758706660278)+0.12067271020759052)),[0.40048716 0.71484818 0.68032667 0.89165682 0.70427587 0.12067271],2.368681233699216,"{'fitness 25': 1.8470741023697688, 'fitness 53': 2.6194754981625574, 'fitness 74': 2.639494100565322, 'fitness 102': 2.8710136905505346}",False
7,"[[0], [2], [2], [1, 2, 2], [1, 2], [2, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0], [1]]",2.8713992724294335,"[1, 1, 1, 1, 2, 2, 3, 1]",7,((((Constant*Constant)+x[1])**Constant)**Constant),((((0.10991661923151408*0.6147323631438655)+x[1])**0.255298808977925)**0.7365912759858398),[0.10991662 0.61473236 0.25529881 0.73659128],2.4922029285010097,"{'fitness 25': 2.1020689095432217, 'fitness 53': 2.705291856092111, 'fitness 74': 2.669248019867696, 'fitness 102': 2.8713992724294335}",False
8,"[[0], [2], [1], [0, 3], [0, 0], [2, 0, 0, 1], [0, 0, 0, 0, 0], [0, 1, 1, 1, 0]]",2.9193583528532567,"[1, 1, 1, 2, 2, 4, 5, 5]",7,((x[0]*x[1]+x[1]+x[1]-x[0])**Constant),((x[0]*x[1]+x[1]+x[1]-x[0])**0.16902798581401535),[0.16902799],2.5691556839480723,"{'fitness 25': 2.206485682251738, 'fitness 53': 2.7722270635351416, 'fitness 74': 2.7287543060573367, 'fitness 102': 2.9193583528532567}",False
9,"[[0], [1], [2, 1], [3, 1, 2], [1, 2, 1, 1], [0, 3, 0, 3, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0]]",2.9463433447850584,"[1, 1, 2, 3, 3, 5, 6, 4]",7,((Constant**Constant)+(((x[0]/Constant)+x[0])/((x[0]+x[0])**Constant))),((0.4597791233139932**0.03375962260040255)+(((x[0]/0.269905055882778)+x[0])/((x[0]+x[0])**0.7700091028296387))),[0.45977912 0.03375962 0.26990506 0.7700091 ],2.4989530758497707,"{'fitness 25': 2.03802167313944, 'fitness 53': 2.757405061303946, 'fitness 74': 2.701432493105927, 'fitness 102': 2.9463433447850584}",False
