,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1], [2, 3], [0, 3, 3, 1], [0, 2], [3, 3, 0, 0, 0, 3, 1, 3], [1, 1, 0, 0], [0, 0, 0, 0]]",2.764548926164158,"[1, 1, 2, 1, 2, 3, 4, 2]",7,((Constant/Constant/x[0]**Constant)+x[0]),((0.9703954057254486/0.2914005353236695/x[0]**0.12017036320663022)+x[0]),[0.97039541 0.29140054 0.12017036],2.4081639544508406,"{'fitness 25': 2.0341358789414206, 'fitness 53': 2.6292272122397864, 'fitness 74': 2.5611287721713154, 'fitness 102': 2.764548926164158}",False
1,"[[0], [2], [2], [0], [0, 1, 0, 0], [0, 2, 3], [1, 1, 0, 0], [1, 0]]",2.8290084756167424,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((Constant+Constant*(x[1]/x[0])**Constant)**Constant),((0.07645362467513916+0.8170569815324102*(x[1]/x[0])**0.2560249437977299)**0.6585763492736472),[0.07645362 0.81705698 0.25602494 0.65857635],2.2955740190766365,"{'fitness 25': 1.7477173479501917, 'fitness 53': 2.5691895981534474, 'fitness 74': 2.56981511112627, 'fitness 102': 2.8290084756167424}",False
2,"[[0], [1], [2, 1], [2, 1, 3], [2, 1, 1], [0, 3, 0, 2, 3], [0, 1, 1, 1, 1, 1], [0]]",2.8564864644965366,"[1, 1, 2, 3, 3, 5, 6, 1]",7,(((x[0]**Constant)**Constant)+(((Constant/Constant)+(Constant*Constant))/Constant)),(((x[0]**0.4956557392274886)**0.9896707452252437)+(((0.26040823084331555/0.10422609820478812)+(0.45471517167086506*0.24540676589757326))/0.6192291627475642)),"[0.49565574 0.98967075 0.26040823 0.1042261  0.45471517 0.24540677
 0.61922916]",2.6402403499177356,"{'fitness 25': 2.4029496217953246, 'fitness 53': 2.8034358887091537, 'fitness 74': 2.7143355392487285, 'fitness 102': 2.8564864644965366}",False
3,"[[0], [0], [2, 1], [0, 0, 1], [2, 2, 1, 0, 1, 2], [1, 3, 2, 2, 3, 3, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0]]",2.8710136905505346,"[1, 1, 2, 3, 6, 8, 9, 4]",7,(x[1]-Constant**Constant)/((Constant*x[0])*x[1]/Constant/((x[0]+Constant)+Constant)),(x[1]-0.40048716413222785**0.714848178465101)/((0.6803266720788544*x[0])*x[1]/0.8916568234811325/((x[0]+0.7042758706660278)+0.12067271020759052)),[0.40048716 0.71484818 0.68032667 0.89165682 0.70427587 0.12067271],2.368681233699216,"{'fitness 25': 1.8470741023697688, 'fitness 53': 2.6194754981625574, 'fitness 74': 2.639494100565322, 'fitness 102': 2.8710136905505346}",False
4,"[[0], [1], [2, 1], [3, 1, 2], [1, 2, 1, 1], [0, 3, 0, 3, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 0, 0, 0]]",2.9463433447850584,"[1, 1, 2, 3, 3, 5, 6, 4]",7,((Constant**Constant)+(((x[0]/Constant)+x[0])/((x[0]+x[0])**Constant))),((0.4597791233139932**0.03375962260040255)+(((x[0]/0.269905055882778)+x[0])/((x[0]+x[0])**0.7700091028296387))),[0.45977912 0.03375962 0.26990506 0.7700091 ],2.4989530758497707,"{'fitness 25': 2.03802167313944, 'fitness 53': 2.757405061303946, 'fitness 74': 2.701432493105927, 'fitness 102': 2.9463433447850584}",False
5,"[[0], [2], [2, 1], [0, 3, 0], [2, 2, 2], [2, 3, 3, 0, 2, 3], [1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1]]",2.949465308625973,"[1, 1, 1, 1, 2, 1, 2, 1]",7,((Constant*x[1]**Constant)**Constant),((0.49427574132773977*x[1]**0.34910572731081657)**0.6960691278921641),[0.49427574 0.34910573 0.69606913],2.52122059204496,"{'fitness 25': 2.083560707009281, 'fitness 53': 2.7489334002094323, 'fitness 74': 2.731167668916167, 'fitness 102': 2.949465308625973}",False
6,"[[0], [2], [2], [2], [0], [1], [0, 0], [1, 0]]",3.0689713792141493,"[1, 1, 1, 1, 1, 1, 2, 2]",7,(((x[1]-x[0]**Constant)**Constant)**Constant),(((x[1]-x[0]**0.46281937674355955)**0.23514655878531232)**0.6171859181683896),[0.46281938 0.23514656 0.61718592],2.527968128102426,"{'fitness 25': 1.9773657323458118, 'fitness 53': 2.8058427865008704, 'fitness 74': 2.8006958654605967, 'fitness 102': 3.0689713792141493}",False
7,"[[0], [2], [1], [0, 3], [2, 0], [2, 0, 0], [1, 0, 1, 0], [0, 1]]",3.0725747786670827,"[1, 1, 1, 2, 2, 3, 4, 2]",7,((Constant*x[0]+Constant+x[1])**Constant),((0.5243755019909939*x[0]+0.6498437112229742+x[1])**0.21081600617273966),[0.5243755  0.64984371 0.21081601],2.864779742523193,"{'fitness 25': 2.640896697480423, 'fitness 53': 3.0068312195751346, 'fitness 74': 2.946611310514021, 'fitness 102': 3.0725747786670827}",False
8,"[[0], [1], [1, 1], [0, 3, 3, 1], [2, 0, 2, 2], [3, 3, 0, 0, 0, 3, 1, 3], [0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0]]",3.089069179427474,"[1, 1, 2, 4, 4, 6, 7, 3]",7,((x[0]/x[0]/Constant+x[0])+(Constant+(Constant/Constant))),((x[0]/x[0]/0.6915894284365618+x[0])+(0.9658959788009509+(0.041077163055267985/0.6600045995737421))),[0.69158943 0.96589598 0.04107716 0.6600046 ],2.6195763593936676,"{'fitness 25': 2.1408617849873046, 'fitness 53': 2.882292762957857, 'fitness 74': 2.8355745302358417, 'fitness 102': 3.089069179427474}",False
9,"[[0], [0], [3, 2], [3], [0, 1], [0], [0, 0, 0, 1, 1, 0], [0, 1]]",3.090178632039739,"[1, 1, 2, 1, 0, 1, 2, 2]",6,x[0]+(x[1]**Constant),x[0]+(x[1]**0.16966313146314316),[0.16966313],2.774649513250735,"{'fitness 25': 2.4448449650228343, 'fitness 53': 2.9648887205255283, 'fitness 74': 2.9142148542038426, 'fitness 102': 3.090178632039739}",False
