,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [3], [3, 0], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",5.267729620479706,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5912896690725316 * (x[1]**0.6110977348108495) * (x[2]),[0.59128967 0.61109773],4.945431758455862,"{'fitness 25': 5.017978649210238, 'fitness 53': 5.267729620479706, 'fitness 74': 4.512979872544103, 'fitness 102': 5.305336753613246}",False
1,"[[0], [3], [], [2, 1], [2, 2], [1, 0, 0], [0, 0]]",5.52249629633078,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.9166510066901469 * (x[1]**0.562014213303932) * (x[2]),[0.91665101 0.56201421],5.263924412477189,"{'fitness 25': 5.569018148730572, 'fitness 53': 5.52249629633078, 'fitness 74': 4.883182683489894, 'fitness 102': 5.339572405211099}",False
2,"[[0], [3], [], [], [], [1], [0]]",5.8018934458326425,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.4824537370465719 * (x[1]**0.6324752823486827) * (x[2]),[0.48245374 0.63247528],5.465155592595448,"{'fitness 25': 5.402832266786471, 'fitness 53': 5.8018934458326425, 'fitness 74': 5.017275031981585, 'fitness 102': 5.9753594790182865}",False
3,"[[0], [3], [], [], [], [1], []]",7.278118829960528,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7785801957706018 * (x[1]**0.5896730549093143) * (x[2]),[0.7785802  0.58967305],7.162124147118515,"{'fitness 25': 7.639611300620105, 'fitness 53': 7.278118829960528, 'fitness 74': 7.09741644093425, 'fitness 102': 6.749344699801189}",False
4,"[[0], [3], [], [], [], [1], []]",9.947581112307997,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.15357796331562568 * (x[1]**0.7840693902702551) * (x[2]),[0.15357796 0.78406939],9.776680054427707,"{'fitness 25': 10.57238310437892, 'fitness 53': 9.947581112307997, 'fitness 74': 9.762388928829125, 'fitness 102': 8.995268130075075}",False
5,"[[0], [2], [2], [2, 2], [0, 2], [1, 1, 0], []]",10.78618064808837,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.15225325829536152**0.733770861028748)**0.6851647384223502) * (x[1]**0.6797062053798113) * (x[2]),[0.15225326 0.73377086 0.68516474 0.67970621],10.666011099508133,"{'fitness 25': 11.616462930549263, 'fitness 53': 10.78618064808837, 'fitness 74': 10.682511310158432, 'fitness 102': 9.699059057816706}",False
6,"[[0], [3], [], [0, 0, 2, 1], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",11.26511929549609,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8660026206272994 * (x[1]**0.5473209800030002) * (x[2]),[0.86600262 0.54732098],10.891844781844071,"{'fitness 25': 11.491383434238326, 'fitness 53': 11.26511929549609, 'fitness 74': 10.179264324078979, 'fitness 102': 11.004886587214912}",False
7,"[[0], [2], [3], [], [0], [1], []]",11.98304699475934,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5959993675531109**0.7926372563410709) * (x[1]**0.5770245894582724) * (x[2]),[0.59599937 0.79263726 0.57702459],11.623469618813763,"{'fitness 25': 12.12478355402343, 'fitness 53': 11.98304699475934, 'fitness 74': 10.946438485979069, 'fitness 102': 11.799186816438786}",False
8,"[[0], [2], [0, 1], [1, 0], [3, 0, 0, 0, 3, 3], [1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0]]",13.698904989057336,"[1, 1, 1, 2, 3, 4, 3]",6,((Constant/x[0])+x[0]+x[0]**Constant) * (x[1]**Constant) * (x[2]),((0.9379729371813721/x[0])+x[0]+x[0]**0.32825884710089415) * (x[1]**0.43457199757420095) * (x[2]),[0.93797294 0.32825885 0.434572  ],13.583519829041881,"{'fitness 25': 13.821801798101161, 'fitness 53': 13.698904989057336, 'fitness 74': 13.613870821237903, 'fitness 102': 13.314886867786573}",False
9,"[[0], [1], [3, 0], [1, 1], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",13.903097013300046,"[1, 1, 2, 2, 4, 5, 3]",6,(Constant+(Constant+x[0])*(x[0]-x[0])) * (x[1]**Constant) * (x[2]),(0.9697887445708674+(0.2684700142955715+x[0])*(x[0]-x[0])) * (x[1]**0.527110927949811) * (x[2]),[0.96978874 0.26847001 0.52711093],13.51564252885509,"{'fitness 25': 14.328992667524602, 'fitness 53': 13.903097013300046, 'fitness 74': 12.759234910438883, 'fitness 102': 13.45870000860178}",False
10,"[[0], [0], [3, 3], [], [0], [1, 1], []]",15.401211216301597,"[1, 1, 2, 0, 1, 2, 0]",4,Constant+Constant * (x[1]**Constant) * (x[2]),0.5388024601228922+0.12917624712369802 * (x[1]**0.7631355404742254) * (x[2]),[0.53880246 0.12917625 0.76313554],15.11957079797993,"{'fitness 25': 15.081568919765937, 'fitness 53': 15.401211216301597, 'fitness 74': 14.659044216548336, 'fitness 102': 15.618099257625518}",False
11,"[[0], [2], [3], [], [], [1], []]",15.615468592490181,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5823246598910106**0.3563024631622672) * (x[1]**0.5417945828992777) * (x[2]),[0.58232466 0.35630246 0.54179458],15.230000375573304,"{'fitness 25': 16.06804485446653, 'fitness 53': 15.615468592490181, 'fitness 74': 14.47633222769548, 'fitness 102': 15.145624044557904}",False
12,"[[0], [2], [3], [], [0], [1], []]",15.663857789139712,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.16097450402764857**0.8268317314366143) * (x[1]**0.7539687797365766) * (x[2]),[0.1609745  0.82683173 0.75396878],15.48251786035609,"{'fitness 25': 17.04671380878109, 'fitness 53': 15.663857789139712, 'fitness 74': 15.429105753254214, 'fitness 102': 13.971734019032963}",False
13,"[[0], [3], [], [], [], [1], []]",16.801366846974815,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.38913040076820304 * (x[1]**0.6897836822732941) * (x[2]),[0.3891304  0.68978368],16.661634081007097,"{'fitness 25': 18.143080606641192, 'fitness 53': 16.801366846974815, 'fitness 74': 16.623395253847796, 'fitness 102': 15.2184263825323}",False
14,"[[0], [3], [], [], [], [1], []]",17.92324954497822,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2832776217915608 * (x[1]**0.7287322883170808) * (x[2]),[0.28327762 0.72873229],17.746947185533458,"{'fitness 25': 19.44346780771864, 'fitness 53': 17.92324954497822, 'fitness 74': 17.67376190211022, 'fitness 102': 16.123611846771507}",False
15,"[[0], [3], [0, 3], [0, 2], [], [1, 0, 0, 0], [0, 0, 0]]",18.286510003788,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2932742432243579 * (x[1]**0.657928405052879) * (x[2]),[0.29327424 0.65792841],17.94713685859313,"{'fitness 25': 18.47328520073416, 'fitness 53': 18.286510003788, 'fitness 74': 17.303743100425855, 'fitness 102': 18.064382274619376}",False
