,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 0], [3, 2, 3], [0, 1], [0, 2, 3, 3], [0, 1, 1, 0, 0], [0, 0, 1]]",0.18727648386744483,"[1, 1, 2, 3, 1, 3, 4, 2]",6,(x[0]**Constant)+(Constant*Constant**Constant)/x[0],(x[0]**0.48521003225544723)+(0.765760963043752*0.6819763095765252**0.0839792047005895)/x[0],[0.48521003 0.76576096 0.68197631 0.0839792 ],0.17750346856778218,"{'fitness 25': 0.13570175220033306, 'fitness 53': 0.2016125542970953, 'fitness 74': 0.19519609920591816, 'fitness 102': 0.18727648386744483}",False
1,"[[0], [1], [0, 1], [3, 2, 1, 0], [2, 2, 2, 2, 0], [3, 2, 0, 0, 3, 3, 0, 3, 3, 2, 3, 3], [1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0]]",0.18747994194748277,"[1, 1, 2, 4, 5, 6, 7, 3]",7,(Constant/(Constant**Constant)*((Constant+Constant)+x[0]/x[0]/x[0])),(0.7510744509981582/(0.8916973473657074**0.6153490161819243)*((0.6724130384359482+0.518201372121829)+x[0]/x[0]/x[0])),[0.75107445 0.89169735 0.61534902 0.67241304 0.51820137],0.1913272171843502,"{'fitness 25': 0.2133637650348996, 'fitness 53': 0.19351981044427324, 'fitness 74': 0.16709807607387775, 'fitness 102': 0.18747994194748277}",False
2,"[[0], [1], [0, 3], [3, 0], [1, 2], [0, 3, 0, 0], [1, 1, 0, 1, 1], [0]]",0.19869067162567008,"[1, 1, 2, 2, 2, 4, 5, 1]",7,(Constant+(Constant/x[0])+Constant+Constant),(0.11979641262010798+(0.3623755431950705/x[0])+0.7163495621355274+0.5571516592911812),[0.11979641 0.36237554 0.71634956 0.55715166],0.18100605764972796,"{'fitness 25': 0.12762914451150242, 'fitness 53': 0.20629829065548838, 'fitness 74': 0.20909073778219303, 'fitness 102': 0.19869067162567008}",False
3,"[[0], [1], [0, 3], [3, 2], [2], [0, 3, 0], [1, 1, 0, 1], [0]]",0.23587782815975888,"[1, 1, 2, 2, 1, 2, 3, 1]",6,(Constant+(Constant**Constant)/x[0]),(0.7912341580649553+(0.7499497052269921**0.5925261095791365)/x[0]),[0.79123416 0.74994971 0.59252611],0.22884438439602542,"{'fitness 25': 0.2192225891076818, 'fitness 53': 0.23547123740717638, 'fitness 74': 0.23183932667321816, 'fitness 102': 0.23587782815975888}",False
4,"[[0], [2], [1, 0], [3, 1], [0, 1, 1, 0, 1, 0], [0, 1, 3, 1], [1, 1, 0, 1, 0, 0], [0, 0, 0, 0]]",0.25881594348457143,"[1, 1, 1, 2, 2, 4, 5, 2]",7,((Constant+(Constant-x[0]/(Constant-x[0])))**Constant),((0.2222165886001075+(0.8679395550374397-x[0]/(0.2266011984735956-x[0])))**0.6315339289077067),[0.22221659 0.86793956 0.2266012  0.63153393],0.23873787478494665,"{'fitness 25': 0.1785293145630743, 'fitness 53': 0.26814155330230044, 'fitness 74': 0.26954275648946524, 'fitness 102': 0.25881594348457143}",False
5,"[[0], [1], [2, 2], [3, 2], [0], [0, 3, 0], [1, 1, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0]]",0.2630144926025989,"[1, 1, 2, 2, 1, 2, 3, 1]",7,((Constant**Constant)+((Constant/x[0]**Constant)**Constant)),((0.7604103618700565**0.6231130682510552)+((0.9668872022189757/x[0]**0.9793921328126939)**0.1750782645383514)),[0.76041036 0.62311307 0.9668872  0.97939213 0.17507826],0.24695326356662303,"{'fitness 25': 0.1993743195470155, 'fitness 53': 0.2739691125654383, 'fitness 74': 0.26751635858741535, 'fitness 102': 0.2630144926025989}",False
6,"[[0], [1], [2, 2], [2, 1], [2, 2, 2, 0], [0, 3, 1, 2, 3, 2, 1], [0, 1, 0, 0, 1], [0, 0, 0]]",0.2732383479979303,"[1, 1, 2, 2, 3, 2, 3, 2]",7,(((x[0]**Constant)**Constant)+((Constant/x[0])**Constant)),(((x[0]**0.26424856000651786)**0.4855234494661389)+((0.5242357948981843/x[0])**0.5191402495337262)),[0.26424856 0.48552345 0.52423579 0.51914025],0.2475280683498822,"{'fitness 25': 0.18245966643258094, 'fitness 53': 0.2778122297392625, 'fitness 74': 0.2823123088778032, 'fitness 102': 0.2732383479979303}",False
7,"[[0], [1], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0]]",0.28276227376828406,"[1, 1, 2, 2, 1, 3, 4, 1]",7,(Constant+((Constant/x[0])**Constant)+Constant),(0.28309533015933264+((0.4027340721513156/x[0])**0.25861725593214113)+0.9663669957712367),[0.28309533 0.40273407 0.25861726 0.966367  ],0.29273060272906,"{'fitness 25': 0.29524109266841686, 'fitness 53': 0.30078890485170734, 'fitness 74': 0.2821618106670559, 'fitness 102': 0.28276227376828406}",False
8,"[[0], [1], [2, 2], [2, 1], [2, 2, 1, 0], [0, 3, 0, 2, 3, 2, 1], [0, 1, 0, 0, 1], [0, 0, 0]]",0.289093005890563,"[1, 1, 2, 2, 3, 3, 4, 3]",7,(((x[0]**Constant)**Constant)+((Constant/(x[0]+x[0]))**Constant)),(((x[0]**0.2732650655989318)**0.002255350957816593)+((0.9515786134373259/(x[0]+x[0]))**0.07974753192766959)),[0.27326507 0.00225535 0.95157861 0.07974753],0.28446797391262063,"{'fitness 25': 0.2574377991347058, 'fitness 53': 0.30502709153348206, 'fitness 74': 0.2909390310696741, 'fitness 102': 0.289093005890563}",False
9,"[[0], [0], [0, 3], [3, 2], [1], [0, 3, 0], [1, 1, 0, 1], [0, 0]]",0.30525888115831057,"[1, 1, 2, 2, 1, 3, 4, 1]",7,Constant+((Constant/x[0])**Constant)+Constant,0.6295678310360471+((0.7019501721721975/x[0])**0.28051553779544225)+0.14942062472541862,[0.62956783 0.70195017 0.28051554 0.14942062],0.2766681337912341,"{'fitness 25': 0.2088852573492336, 'fitness 53': 0.30767935893551396, 'fitness 74': 0.3134397850889548, 'fitness 102': 0.30525888115831057}",False
