,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 2], [3, 3, 0, 0], [], [0, 3, 0], [1, 1, 0, 0, 1, 0, 0, 1], [0]]",0.31229752837922925,"[1, 1, 2, 2, 0, 1, 2, 0]",5,(Constant**Constant)+(Constant**Constant),(0.8719090530660045**0.6224753147518414)+(0.9797815593002374**0.11680196400197074),[0.87190905 0.62247531 0.97978156 0.11680196],0.30283945318126276,"{'fitness 25': 0.26729789489375455, 'fitness 53': 0.32722076638851455, 'fitness 74': 0.31399969826151924, 'fitness 102': 0.31229752837922925}",False
1,"[[0], [0], [1, 3], [3, 3], [0, 0, 1, 0], [3, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0]]",0.3166264027995495,"[1, 1, 2, 2, 0, 2, 3, 2]",6,(Constant/x[0])+x[0],(0.7044599820961823/x[0])+x[0],[0.70445998],0.30091405117103903,"{'fitness 25': 0.24627584225585256, 'fitness 53': 0.33048846590443665, 'fitness 74': 0.3259778453528279, 'fitness 102': 0.3166264027995495}",False
2,"[[0], [0], [1, 0], [3, 1, 0, 1], [0, 1, 1, 0, 1, 0], [3, 2, 0, 2, 3, 0, 0, 3, 2, 2, 3, 3], [1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0]]",0.3315871150865783,"[1, 1, 2, 4, 6, 12, 13, 2]",7,(Constant/(Constant*Constant+(Constant*Constant)))/(x[0]+x[0])+Constant/Constant*((Constant*Constant)/Constant/Constant),(0.5189711546879262/(0.3535398071491329*0.7688014084285231+(0.7777100684194245*0.6217560405086542)))/(x[0]+x[0])+0.6304384579593648/0.8257115375649291*((0.42410658349993513*0.20355890208766925)/0.4460869656608789/0.11988849259120005),"[0.51897115 0.35353981 0.76880141 0.77771007 0.62175604 0.63043846
 0.82571154 0.42410658 0.2035589  0.44608697 0.11988849]",0.3035214520613531,"{'fitness 25': 0.235847932884779, 'fitness 53': 0.33004342481768284, 'fitness 74': 0.3446729984815976, 'fitness 102': 0.3315871150865783}",False
3,"[[0], [0], [2, 3], [3], [1], [3, 0, 3, 0], [1, 1], []]",0.34507400816684114,"[1, 1, 2, 1, 0, 1, 2, 0]",5,(Constant**Constant)/Constant,(0.2579464916058718**0.737826550462477)/0.17804384172404408,[0.25794649 0.73782655 0.17804384],0.35144455807729474,"{'fitness 25': 0.34480696888381807, 'fitness 53': 0.36411234799017245, 'fitness 74': 0.3454143573578939, 'fitness 102': 0.34507400816684114}",False
4,"[[0], [1], [0, 0], [0, 3, 1, 3], [1, 0, 0, 1], [3, 3, 3, 0, 1, 3, 3, 2, 2], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 1]]",0.358889156878602,"[1, 1, 2, 4, 4, 9, 10, 4]",7,((Constant/Constant)/Constant/x[0]+x[0]-(x[0]/Constant/(x[1]*Constant))*Constant),((0.36347249512852986/0.43386434347367075)/0.791909741619969/x[0]+x[0]-(x[0]/0.7680299342825078/(x[1]*0.18835331708214287))*0.17662736063550433),[0.3634725  0.43386434 0.79190974 0.76802993 0.18835332 0.17662736],0.37977611189666494,"{'fitness 25': 0.41504071745985976, 'fitness 53': 0.38380286267427144, 'fitness 74': 0.3404847555558635, 'fitness 102': 0.358889156878602}",False
5,"[[0], [2], [2], [2, 1], [0], [0], [0, 1], [1]]",0.37015890998522855,"[1, 1, 1, 1, 1, 1, 2, 1]",7,(((x[1]+Constant**Constant)**Constant)**Constant),(((x[1]+0.18531646924611134**0.45247034947490716)**0.3720967987143291)**0.2150259357987685),[0.18531647 0.45247035 0.3720968  0.21502594],0.348617640580468,"{'fitness 25': 0.3009903543046491, 'fitness 53': 0.373693634665911, 'fitness 74': 0.3711689327708441, 'fitness 102': 0.37015890998522855}",False
6,"[[0], [2], [2, 1], [3, 0, 2], [2, 0, 1, 0], [0, 1, 3, 2, 0, 0], [0, 1, 1, 1, 0, 1, 1], [1]]",0.37021906264736076,"[1, 1, 1, 1, 0, 0, 1, 1]",6,((x[1]**Constant)**Constant),((x[1]**0.44049219821046104)**0.18136721523790256),[0.4404922  0.18136722],0.3484243662976927,"{'fitness 25': 0.30042449811860433, 'fitness 53': 0.37363708847968385, 'fitness 74': 0.37121151229478977, 'fitness 102': 0.37021906264736076}",False
7,"[[0], [2], [2], [0], [0, 0], [1, 0, 1], [0, 1, 0, 1], [1, 0]]",0.37679248134856574,"[1, 1, 1, 1, 2, 3, 4, 2]",7,((x[1]-Constant+x[0]-Constant**Constant)**Constant),((x[1]-0.7615417008127585+x[0]-0.0483335163322145**0.08754634505422454)**0.07581740996870534),[0.7615417  0.04833352 0.08754635 0.07581741],0.3472944725468005,"{'fitness 25': 0.2879252127825198, 'fitness 53': 0.3766519157986672, 'fitness 74': 0.3773062890592145, 'fitness 102': 0.37679248134856574}",False
8,"[[0], [1], [2, 2], [3, 3, 0, 0], [], [0], [1, 1, 0, 0, 1, 0, 0, 1], [0]]",0.3830379315621147,"[1, 1, 2, 2, 0, 1, 2, 0]",5,((Constant**Constant)+(Constant**Constant)),((0.589957478961631**0.327736557011971)+(0.4237089998837491**0.17986394459364585)),[0.58995748 0.32773656 0.423709   0.17986394],0.35418158324478405,"{'fitness 25': 0.28855359274835785, 'fitness 53': 0.3880074186177516, 'fitness 74': 0.38598373836824257, 'fitness 102': 0.3830379315621147}",False
9,"[[0], [2], [1], [0, 0], [0, 0, 1, 0], [2, 2, 0, 0, 3, 0, 0], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0]]",0.4323978895986278,"[1, 1, 1, 2, 4, 7, 8, 4]",7,((Constant*x[0]*x[0]+Constant+(Constant/Constant)+x[0]+x[0])**Constant),((0.6751107188212236*x[0]*x[0]+0.8212660724641866+(0.952043862345536/0.01194043972388803)+x[0]+x[0])**0.10950930674228954),[0.67511072 0.82126607 0.95204386 0.01194044 0.10950931],0.4007446023815653,"{'fitness 25': 0.33221101274129244, 'fitness 53': 0.43461083780407256, 'fitness 74': 0.4354119565993309, 'fitness 102': 0.4323978895986278}",False
