,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.2836264405206929,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),(0.689055353608095+(0.9158482766053965/x[0]-(0.5737265164511184-x[0]))**0.492834216558813),[0.68905535 0.91584828 0.57372652 0.49283422],0.25464363567026,"{'fitness 25': 0.22210302134542056, 'fitness 53': 0.2836264405206929, 'fitness 74': 0.27407356458179016, 'fitness 102': 0.2677543210835693}",False
1,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
2,"[[0], [2], [1], [2, 0, 2], [1, 0, 2, 1], [3, 2, 3, 2, 2, 3, 1], [0, 1, 0, 0, 1], [0, 1, 0, 1]]",0.35550301930611056,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((((x[0]/Constant)**Constant)*x[1]/x[0]*Constant)**Constant),((((x[0]/0.13104460023076547)**0.45422313937738124)*x[1]/x[0]*0.10429079487652748)**0.09293366258635105),[0.1310446  0.45422314 0.10429079 0.09293366],0.3301284463564553,"{'fitness 25': 0.27585363447228595, 'fitness 53': 0.35550301930611056, 'fitness 74': 0.3579399176650892, 'fitness 102': 0.35659178693199056}",False
3,"[[0], [2], [0], [3, 1], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0], [0, 0, 1, 1]]",0.3579599703101367,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]+x[0]/(x[1]*x[1]))**Constant),(0.8064194696169619+(x[0]+x[0]/(x[1]*x[1]))**0.045833779207521075),[0.80641947 0.04583378],0.3230027979907321,"{'fitness 25': 0.27134195809654255, 'fitness 53': 0.3579599703101367, 'fitness 74': 0.3497581223084147, 'fitness 102': 0.34790831356723906}",False
4,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.3639277841476862,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),(0.7542775170697966+(0.24346139735113415/x[0]-(0.049078336135178535-x[0]))**0.04799315244934932),[0.75427752 0.2434614  0.04907834 0.04799315],0.328477706955628,"{'fitness 25': 0.27109569922277543, 'fitness 53': 0.3639277841476862, 'fitness 74': 0.35849090461579225, 'fitness 102': 0.35584651702831627}",False
5,"[[0], [2], [0], [1, 0], [0, 1, 0, 2], [3, 3, 2, 0, 0, 0], [1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0]]",0.3864940820422109,"[1, 1, 1, 2, 4, 6, 7, 3]",7,((Constant/x[0]/(Constant*x[0]))+x[0]+Constant+Constant**Constant),((0.31510614424279393/x[0]/(0.9684653197372202*x[0]))+x[0]+0.13375203012195525+0.020255428234789097**0.6681667625024699),[0.31510614 0.96846532 0.13375203 0.02025543 0.66816676],0.34240700102546956,"{'fitness 25': 0.29575279050408837, 'fitness 53': 0.3864940820422109, 'fitness 74': 0.36298084902233585, 'fitness 102': 0.3684873635499844}",False
6,"[[0], [2], [1, 0], [1, 2, 1, 2], [0, 1, 2], [2, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1], [1, 0, 1, 0]]",0.3876881856999043,"[1, 1, 1, 2, 3, 4, 5, 3]",7,(((x[1]*x[0]+(x[1]-Constant))/(Constant**Constant))**Constant),(((x[1]*x[0]+(x[1]-0.8634367409564241))/(0.7033295850101421**0.9496577659029178))**0.07203141344323816),[0.86343674 0.70332959 0.94965777 0.07203141],0.3609014552880718,"{'fitness 25': 0.31840313600714804, 'fitness 53': 0.3876881856999043, 'fitness 74': 0.3826091190446596, 'fitness 102': 0.3816921108124079}",False
7,"[[0], [2], [1], [0, 1], [2, 2, 0, 2], [1, 1, 1, 2], [0, 1, 0, 1, 0], [1, 0, 0]]",0.4004395633998104,"[1, 1, 1, 2, 4, 4, 5, 3]",7,((x[1]-Constant-(x[0]-Constant*x[0]))**Constant),((x[1]-0.25573429660478764-(x[0]-0.6740985777901647*x[0]))**0.08824558087326517),[0.2557343  0.67409858 0.08824558],0.38144502843510236,"{'fitness 25': 0.36418925690682763, 'fitness 53': 0.4004395633998104, 'fitness 74': 0.39130412898114825, 'fitness 102': 0.3888416994173312}",False
8,"[[0], [2], [0], [2, 3], [2, 2, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1, 0], [0, 0, 1, 1]]",0.4438468467439236,"[1, 1, 1, 2, 1, 1, 2, 1]",7,((x[0]**Constant)+Constant**Constant),((x[0]**0.007345123570299372)+0.43103972646502686**0.5870504170523956),[0.00734512 0.43103973 0.58705042],0.4094459409946872,"{'fitness 25': 0.3412409224882951, 'fitness 53': 0.4438468467439236, 'fitness 74': 0.44503381151948884, 'fitness 102': 0.4420630889762778}",False
9,"[[0], [2], [0], [3, 1], [0, 1], [0, 2, 0, 0], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.4592862460535277,"[1, 1, 1, 2, 2, 4, 5, 4]",7,(Constant+(x[0]*x[0]+(x[0]+x[0]))**Constant),(0.9467793526433798+(x[0]*x[0]+(x[0]+x[0]))**0.15911327644812845),[0.94677935 0.15911328],0.4391360472331349,"{'fitness 25': 0.4392248176344494, 'fitness 53': 0.4592862460535277, 'fitness 74': 0.4394144859832142, 'fitness 102': 0.43876883808174094}",False
