,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.328834699083089,7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.9405507311275302+(x[0]/x[0]-(x[0]-x[0]))**0.1571426067956524),[0.94055073 0.15714261],0.3010846485895619,"{'fitness 25': 0.2758636454030402, 'fitness 53': 0.328834699083089, 'fitness 74': 0.31443626253848544, 'fitness 102': 0.31295403782716}",False
1,"[[0], [2], [1], [2, 0, 2], [1, 0, 2, 1], [3, 2, 3, 2, 2, 3, 1], [0, 1, 0, 0, 1], [0, 1, 0, 1]]",0.35550301930611056,7,((((x[0]/Constant)**Constant)*x[1]/x[0]*Constant)**Constant),"[1, 1, 1, 2, 3, 4, 5, 3]",((((x[0]/0.13104460023076547)**0.45422313937738124)*x[1]/x[0]*0.10429079487652748)**0.09293366258635105),[0.1310446  0.45422314 0.10429079 0.09293366],0.3301284463564553,"{'fitness 25': 0.27585363447228595, 'fitness 53': 0.35550301930611056, 'fitness 74': 0.3579399176650892, 'fitness 102': 0.35659178693199056}",False
2,"[[0], [2], [0], [3, 1], [0, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 0, 0], [0, 0, 1, 1]]",0.3579599703101367,7,(Constant+(x[0]+x[0]/(x[1]*x[1]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.8064194696169619+(x[0]+x[0]/(x[1]*x[1]))**0.045833779207521075),[0.80641947 0.04583378],0.3230027979907321,"{'fitness 25': 0.27134195809654255, 'fitness 53': 0.3579599703101367, 'fitness 74': 0.3497581223084147, 'fitness 102': 0.34790831356723906}",False
3,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 0, 0, 0]]",0.3639277841476862,7,(Constant+(Constant/x[0]-(Constant-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",(0.7542775170697966+(0.24346139735113415/x[0]-(0.049078336135178535-x[0]))**0.04799315244934932),[0.75427752 0.2434614  0.04907834 0.04799315],0.328477706955628,"{'fitness 25': 0.27109569922277543, 'fitness 53': 0.3639277841476862, 'fitness 74': 0.35849090461579225, 'fitness 102': 0.35584651702831627}",False
4,"[[0], [2], [1, 0], [1, 2, 1, 2], [0, 1, 2], [2, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1], [1, 0, 1, 0]]",0.3876881856999043,7,(((x[1]*x[0]+(x[1]-Constant))/(Constant**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 3]",(((x[1]*x[0]+(x[1]-0.8634367409564241))/(0.7033295850101421**0.9496577659029178))**0.07203141344323816),[0.86343674 0.70332959 0.94965777 0.07203141],0.3609014552880718,"{'fitness 25': 0.31840313600714804, 'fitness 53': 0.3876881856999043, 'fitness 74': 0.3826091190446596, 'fitness 102': 0.3816921108124079}",False
5,"[[0], [2], [1], [0, 1], [2, 2, 0, 2], [1, 1, 1, 2], [0, 1, 0, 1, 0], [1, 0, 0]]",0.4004395633998104,7,((x[1]-Constant-(x[0]-Constant*x[0]))**Constant),"[1, 1, 1, 2, 4, 4, 5, 3]",((x[1]-0.25573429660478764-(x[0]-0.6740985777901647*x[0]))**0.08824558087326517),[0.2557343  0.67409858 0.08824558],0.38144502843510236,"{'fitness 25': 0.36418925690682763, 'fitness 53': 0.4004395633998104, 'fitness 74': 0.39130412898114825, 'fitness 102': 0.3888416994173312}",False
6,"[[0], [0], [2, 2], [3, 1], [2, 2], [0, 0], [0, 0, 0], [0, 1, 0]]",0.4772358301606541,7,(x[0]**Constant)+((x[1]+x[0])**Constant),"[1, 1, 2, 2, 2, 2, 3, 3]",(x[0]**0.30654445076583825)+((x[1]+x[0])**0.01618772895120557),[0.30654445 0.01618773],0.45607296824919724,"{'fitness 25': 0.453304609684033, 'fitness 53': 0.4772358301606541, 'fitness 74': 0.45787988187001133, 'fitness 102': 0.4570344131935474}",False
7,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",0.511767344805669,7,(Constant+(x[0]/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 4]",(0.5131817298724367+(x[0]/x[0]-(x[0]-x[0]))**0.43692191526671986),[0.51318173 0.43692192],0.4794241602810369,"{'fitness 25': 0.40955890169315246, 'fitness 53': 0.511767344805669, 'fitness 74': 0.5159527765355704, 'fitness 102': 0.512760802614388}",False
8,"[[0], [0], [1, 0], [1, 1, 2, 2], [0, 1, 1, 1, 0, 2], [2, 2, 0, 3, 2, 2, 0, 0, 3, 0], [0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 0]]",0.5242604116769114,7,((x[0]*Constant*(x[0]+Constant))/((x[0]*Constant)*(x[1]+x[0])))+(Constant/Constant**Constant)+(x[0]**Constant),"[1, 1, 2, 4, 6, 10, 11, 6]",((x[0]*0.2173451650430014*(x[0]+0.5367700378134491))/((x[0]*0.6984908128560176)*(x[1]+x[0])))+(0.7931929580211795/0.813995130844178**0.9240100661626603)+(x[0]**0.6466467439252712),"[0.21734517 0.53677004 0.69849081 0.79319296 0.81399513 0.92401007
 0.64664674]",0.4905865078694776,"{'fitness 25': 0.4590907950942493, 'fitness 53': 0.5242604116769114, 'fitness 74': 0.5051775912288223, 'fitness 102': 0.5074911372853612}",False
9,"[[0], [0], [1, 0], [0, 2, 1, 2], [2, 0, 0, 0, 1, 0], [1, 0, 1, 3, 3, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0], [1, 0, 1, 0]]",0.5405014293205703,7,(x[1]-x[0]+Constant-(Constant/Constant**Constant))/(x[1]+Constant-(Constant+Constant))+(Constant+x[0]**Constant),"[1, 1, 2, 4, 6, 10, 11, 4]",(x[1]-x[0]+0.5148882106524333-(0.6154706270666969/0.7011150181008989**0.4704027131472913))/(x[1]+0.5515026671020091-(0.112811922909966+0.9436862954161495))+(0.016745288427801874+x[0]**0.6886109483568976),"[0.51488821 0.61547063 0.70111502 0.47040271 0.55150267 0.11281192
 0.9436863  0.01674529 0.68861095]",0.5090063671861277,"{'fitness 25': 0.48435410124420614, 'fitness 53': 0.5405014293205703, 'fitness 74': 0.5205360350708322, 'fitness 102': 0.5221289652433447}",False
10,"[[0], [0], [3, 2], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 1], [0]]",0.5744584199614027,6,Constant+(x[0]**Constant),"[1, 1, 2, 1, 0, 1, 2, 1]",0.47914135483751474+(x[0]**0.13182671440628846),[0.47914135 0.13182671],0.541021346766689,"{'fitness 25': 0.4716151292763758, 'fitness 53': 0.5744584199614027, 'fitness 74': 0.5760408193776276, 'fitness 102': 0.5754080916460638}",False
11,"[[0], [2], [0], [2, 3], [2, 2, 0, 0], [0, 0, 1, 2], [0, 1, 0, 1, 0], [0, 1]]",0.574996783599695,7,((x[0]**Constant)+Constant**Constant),"[1, 1, 1, 2, 1, 1, 2, 1]",((x[0]**0.8171309164803912)+0.7687273928840793**0.5440734929259065),[0.81713092 0.76872739 0.54407349],0.5378346083516675,"{'fitness 25': 0.4959905956263473, 'fitness 53': 0.574996783599695, 'fitness 74': 0.5564502454928086, 'fitness 102': 0.5610629839358469}",False
12,"[[0], [2], [2], [0, 1], [2, 2], [0, 1], [1, 0, 0, 0, 0], [0]]",0.5750474035243616,7,((Constant+x[0]**Constant)**Constant),"[1, 1, 1, 1, 2, 1, 2, 1]",((0.8844739509080406+x[0]**0.7176601133787497)**0.7287677315608005),[0.88447395 0.71766011 0.72876773],0.537367844489256,"{'fitness 25': 0.47253366052260615, 'fitness 53': 0.5750474035243616, 'fitness 74': 0.5680561036553053, 'fitness 102': 0.5715137692898565}",False
13,"[[0], [0], [3, 2], [3, 1], [0, 1], [0, 3, 1, 1], [1, 0, 1], [0]]",0.5921772751796645,6,Constant+(x[0]**Constant),"[1, 1, 2, 1, 0, 1, 2, 1]",0.9029312746403814+(x[0]**0.8972998668402262),[0.90293127 0.89729987],0.5558839188758884,"{'fitness 25': 0.5180339699095821, 'fitness 53': 0.5921772751796645, 'fitness 74': 0.5726248579732127, 'fitness 102': 0.5769929287448704}",False
14,"[[0], [2], [1, 2], [1, 0, 3, 1], [1, 0, 1, 0], [3, 3, 0, 1, 2, 1, 2], [0, 1, 1, 1, 1, 1, 1, 1], [0]]",0.6114219728572082,7,((((x[0]/Constant)/Constant+Constant)-(Constant*Constant)-Constant*Constant)**Constant),"[1, 1, 1, 2, 4, 7, 8, 1]",((((x[0]/0.4643319108325792)/0.657829280160439+0.8224447079728454)-(0.1228505686533895*0.835181053402315)-0.05729163535765747*0.7833438499495593)**0.5253257218567293),"[0.46433191 0.65782928 0.82244471 0.12285057 0.83518105 0.05729164
 0.78334385 0.52532572]",0.5796410064256702,"{'fitness 25': 0.5566759933187773, 'fitness 53': 0.6114219728572082, 'fitness 74': 0.5898946753039083, 'fitness 102': 0.5923523506543248}",False
15,"[[0], [0], [3, 0], [2, 1], [2, 0, 1], [0, 0, 0, 2, 3, 0], [1, 0, 1, 1, 1, 0, 1], [0, 1, 0]]",0.6412104598959321,7,Constant+(x[0]**Constant)+(Constant+Constant*(Constant/x[1])),"[1, 1, 2, 2, 3, 5, 6, 2]",0.6922735007199597+(x[0]**0.9606733164239495)+(0.4556923507352022+0.061431286565230225*(0.5619044478683788/x[1])),[0.6922735  0.96067332 0.45569235 0.06143129 0.56190445],0.6140251572176615,"{'fitness 25': 0.6019478611458361, 'fitness 53': 0.6412104598959321, 'fitness 74': 0.62011585815238, 'fitness 102': 0.6200117523547686}",False
16,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 0, 0, 1], [0, 0, 0, 0]]",0.6934603852547793,7,(Constant+(Constant/x[0]-(x[0]-x[0]))**Constant),"[1, 1, 1, 2, 2, 4, 5, 3]",(0.45227308617504725+(0.6003378475631627/x[0]-(x[0]-x[0]))**0.6754317002775342),[0.45227309 0.60033785 0.6754317 ],0.6768607767994812,"{'fitness 25': 0.6128783863099081, 'fitness 53': 0.6934603852547793, 'fitness 74': 0.7162190025413038, 'fitness 102': 0.7014849415472315}",False
17,"[[0], [0], [2, 0], [1, 0, 3], [0, 1, 1, 1, 0, 2], [0, 3, 0, 0, 3, 3, 0, 0], [0, 0, 1, 1, 1, 0, 0, 1, 0], [0, 0, 1, 1, 0]]",0.7009462173977342,7,((x[0]+x[0]/(Constant+Constant))**Constant)+(Constant/x[1])/(x[1]+Constant)+x[0],"[1, 1, 2, 3, 4, 8, 9, 5]",((x[0]+x[0]/(0.3295831498213476+0.40507716720236375))**0.15067260090282752)+(0.9769809408015135/x[1])/(x[1]+0.3682024801164968)+x[0],[0.32958315 0.40507717 0.1506726  0.97698094 0.36820248],0.6711108131853782,"{'fitness 25': 0.6544881944503393, 'fitness 53': 0.7009462173977342, 'fitness 74': 0.6786130827257069, 'fitness 102': 0.6802311623800886}",False
18,"[[0], [2], [0], [3, 3], [2, 2], [0, 0], [0, 0, 0], [0, 0, 0, 0]]",0.7540915894047153,6,(x[0]+x[0]**Constant),"[1, 1, 1, 2, 0, 1, 2, 2]",(x[0]+x[0]**0.41221342136468686),[0.41221342],0.7178272690767198,"{'fitness 25': 0.6867526302202156, 'fitness 53': 0.7540915894047153, 'fitness 74': 0.7298855737286016, 'fitness 102': 0.7368436032813421}",False
19,"[[0], [2], [1], [3, 3], [], [0, 0, 1, 1], [0, 0, 1, 0, 1], [0, 0, 0, 0]]",0.7624302180762849,6,((x[0]+x[0])**Constant),"[1, 1, 1, 2, 0, 1, 2, 2]",((x[0]+x[0])**0.7363969770644677),[0.73639698],0.7209558243922588,"{'fitness 25': 0.6661032442450215, 'fitness 53': 0.7624302180762849, 'fitness 74': 0.7420784272206865, 'fitness 102': 0.7546858017110682}",False
20,"[[0], [2], [2], [1, 2], [2, 1], [0, 3, 1, 1], [1, 0, 1, 0, 0], [0, 0, 0, 0]]",0.9330098294723069,7,(((Constant+(x[0]/Constant))**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 1]",(((0.8252822974202789+(x[0]/0.8527895234145304))**0.46799816127726734)**0.11812395244468488),[0.8252823  0.85278952 0.46799816 0.11812395],0.9076011893639095,"{'fitness 25': 0.8399335417092046, 'fitness 53': 0.9330098294723069, 'fitness 74': 0.9427217082531824, 'fitness 102': 0.9401483181293416}",False
21,"[[0], [2], [2, 0], [1, 0, 3, 1], [1, 0], [0, 3, 0, 0, 3, 3, 3], [1, 0, 1, 0, 0], [0, 0, 1, 1]]",0.9581305243145961,7,((((Constant+x[0])/Constant+x[0])**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 2]",((((0.9377105913439799+x[0])/0.6342335674811276+x[0])**0.009573954122956141)**0.5024976860587986),[0.93771059 0.63423357 0.00957395 0.50249769],0.9334191753953799,"{'fitness 25': 0.866047298141192, 'fitness 53': 0.9581305243145961, 'fitness 74': 0.96864885749783, 'fitness 102': 0.9655613705471178}",False
22,"[[0], [2], [2, 0], [3, 1], [2, 0, 1, 0], [0, 3, 0, 0, 3, 3, 3], [1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 1, 1]]",0.9794459268290842,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.5202115130110635**0.9058947966408877)**0.027999984129693956),[0.52021151 0.9058948  0.02799998],0.954988948814853,"{'fitness 25': 0.8877750420311454, 'fitness 53': 0.9794459268290842, 'fitness 74': 0.9901639005683182, 'fitness 102': 0.9870279038450951}",False
23,"[[0], [2], [3], [1, 3, 2, 0], [2, 2, 2, 1, 2], [0, 3, 1, 1], [1, 0, 1], [1, 0, 1, 0]]",0.9821792799600593,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8033595979559705**0.08919137125815135),[0.8033596  0.08919137],0.9577486363668862,"{'fitness 25': 0.890553087221987, 'fitness 53': 0.9821792799600593, 'fitness 74': 0.9929140856578315, 'fitness 102': 0.9897787362208401}",False
24,"[[0], [2], [2], [2, 1], [2, 1], [1, 1, 1, 2], [1, 0, 0, 0, 0], [1, 0, 0]]",0.9845904874323662,6,(((Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 0]",(((0.3097170523275219**0.42015052334958725)**0.23263883806426933)**0.19324752793395839),[0.30971705 0.42015052 0.23263884 0.19324753],0.9601829603884261,"{'fitness 25': 0.8930035585211582, 'fitness 53': 0.9845904874323662, 'fitness 74': 0.9953400510136658, 'fitness 102': 0.9922052716304541}",False
25,"[[0], [2], [3], [1, 3, 2, 0], [2, 2, 2, 1, 2], [0, 3, 1, 1], [1, 0, 1], [1]]",1.00964504615575,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8992824139958527**0.4675097891081963),[0.89928241 0.46750979],0.9854715601829729,"{'fitness 25': 0.9184573496967314, 'fitness 53': 1.00964504615575, 'fitness 74': 1.0205431206863431, 'fitness 102': 1.017414210165844}",False
26,"[[0], [2], [3], [], [], [0, 3, 1, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0]]",1.013669235060494,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8108158758843012**0.2580128525979506),[0.81081588 0.25801285],0.9895323223682696,"{'fitness 25': 0.922544204425037, 'fitness 53': 1.013669235060494, 'fitness 74': 1.0245903700788925, 'fitness 102': 1.0214623926008795}",False
